Liste des clients,Liste des adresses ,List des noms complets
716,Lac2,716 Lac2
716,CUN,716 CUN
716,Menzah6,716 Menzah6
A Table ,Lac1,A Table  Lac1
A Table ,Marsa,A Table  Marsa
AF Collection ,Soukra,AF Collection  Soukra
AFA Centre ,Menzah4,AFA Centre  Menzah4
Affaire A Suivre,Marsa,Affaire A Suivre Marsa
Agence de voyage Ciryne Tours,CUN,Agence de voyage Ciryne Tours CUN
Alia Megdiche ,Lac2,Alia Megdiche  Lac2
Alia Megdiche ,Sfax,Alia Megdiche  Sfax
Ambiance D'Autrefois ,Sousse,Ambiance D'Autrefois  Sousse
Ami Voyage ,Lafayette,Ami Voyage  Lafayette
Angelo ,Menzah5,Angelo  Menzah5
Arco Cerame ,Sfax,Arco Cerame  Sfax
Arena Gym,El Manar,Arena Gym El Manar
Arena Gym ,Soukra,Arena Gym  Soukra
Arezzo Italia Mobili ,Soukra,Arezzo Italia Mobili  Soukra
Armani Mall ,Lac2,Armani Mall  Lac2
Armatis,Ghazela,Armatis Ghazela
Armatis,Lac1,Armatis Lac1
ARS Ariana,Ariana,ARS Ariana Ariana
ARS Tunisie Ariana,Ariana,ARS Tunisie Ariana Ariana
Art de la table ,,Art de la table  
Arthephage ,Lac1,Arthephage  Lac1
Artige ,Lac1,Artige  Lac1
Asteel Flash,Soukra,Asteel Flash Soukra
AVS Aeroport,,AVS Aeroport 
Azalée,Soukra,Azalée Soukra
Bank Zitouna,Lac2,Bank Zitouna Lac2
Barista's ,Aouina,Barista's  Aouina
Barista's ,Ariana,Barista's  Ariana
Barista's ,Bardo,Barista's  Bardo
Barista's ,Berges du Lac,Barista's  Berges du Lac
Barista's ,Carthage Dermech,Barista's  Carthage Dermech
Barista's ,CUN,Barista's  CUN
Barista's ,Jardin Carthage,Barista's  Jardin Carthage
Barista's ,Sousse,Barista's  Sousse
Barista's ,Lac1,Barista's  Lac1
Basma,Ben Arous,Basma Ben Arous
Baya Deco ,Marsa,Baya Deco  Marsa
Be Babel ,Marsa,Be Babel  Marsa
Beauty Shop,Ennasr,Beauty Shop Ennasr
Beauty Shop,Lac2,Beauty Shop Lac2
Beppi ,Manar City,Beppi  Manar City
Bernardo ,Soukra,Bernardo  Soukra
Bolzano ,Soukra,Bolzano  Soukra
Boudrant Admin ,Tunis,Boudrant Admin  Tunis
Boumiza Square ,Sousse,Boumiza Square  Sousse
